,Time_hrs,mean_inner_CFP,mean_edge_CFP,mean_CFP
373,14.583333333333334,1644.3925363889746,878.2158904637931,1248.2404776149167
375,14.666666666666666,1636.714293072367,944.977226769379,1279.1834017668284
377,14.75,1628.7793572311496,1002.8286965729687,1305.2136992436306
379,14.833333333333334,1618.1809567948912,1047.32065845206,1323.1145664883693
381,14.916666666666666,1610.4843709768784,1078.0927244731017,1335.2632770329096
383,15.0,1600.8216180029867,1088.3703810623556,1335.8964505136432
385,15.083333333333334,1592.6802486897545,1045.3416802845334,1309.876874937916
387,15.166666666666666,1598.844496886925,935.6489776509748,1258.2251013530015
389,15.25,1664.8703409203854,839.4089900373011,1241.5768141207236
391,15.333333333333334,1710.2132462132465,760.8407355021218,1223.9727615184006
393,15.416666666666666,1721.8298785904651,724.3614129156673,1211.0966211497243
395,15.5,1722.4078869633713,707.7262989758528,1203.1879176883506
397,15.583333333333334,1721.3656087765696,702.0438233912635,1201.0491032895368
399,15.666666666666666,1721.855337626854,693.8255159474672,1197.711569734073
401,15.75,1729.633474062212,685.6014513108613,1198.2511020563775
403,15.833333333333334,1736.2901809408927,676.1403615301975,1197.6100773721935
405,15.916666666666666,1740.9922674223142,666.2065865474193,1195.3775922816808
407,16.0,1741.9422967053895,657.8070069324898,1193.6372449819987
409,16.083333333333332,1744.9433106575964,653.1041878995645,1193.6863685269216
411,16.166666666666664,1747.062772695285,647.846011816839,1192.9914376788665
413,16.25,1750.5667770676864,642.7794963863188,1193.0027571825765
415,16.333333333333332,1751.4322476322477,638.5387126436783,1193.6390828436454
417,16.416666666666664,1750.2229500687129,634.2763368555876,1191.8537456226684
419,16.5,1750.9781306715063,628.6448908933534,1190.9468300334156
421,16.583333333333332,1749.8834032192615,627.1209175562118,1190.58539620763
423,16.666666666666664,1753.2344762841433,625.4198842571661,1192.5088003236901
425,16.75,1752.974934563684,623.9232185353151,1191.850441845934
427,16.833333333333332,1756.1333303988024,623.4224288204532,1194.1111751790822
429,16.916666666666664,1755.5255273616629,621.5129436882838,1193.7046210802353
431,17.0,1756.752996149353,620.7178850248403,1195.8143548634382
433,17.083333333333332,1751.4177524429967,617.234971469014,1193.2760835020356
435,17.166666666666664,1756.7530937699341,618.0384970742224,1197.0730473142462
437,17.249999999999996,1758.3831566499136,619.9535087335289,1199.373086844368
439,17.333333333333332,1753.6073191133414,618.1421649934526,1198.0005980350275
441,17.416666666666664,1755.1086920461146,618.9700863977771,1200.0642458693026
443,17.499999999999996,1754.4372789339475,619.3792819713307,1201.5499419892415
445,17.583333333333332,1750.4260263361734,618.7927434315544,1200.6203781336465
447,17.666666666666664,1750.1181873356259,619.3572257315972,1201.751198266161
449,17.749999999999996,1756.1587218649518,619.9034132171388,1205.337613121001
451,17.833333333333332,1758.3959421214176,621.0612930667801,1208.1821923163984
453,17.916666666666664,1759.9151515151514,624.6880764999578,1211.0095542052825
455,17.999999999999996,1761.7981406660654,624.3711683602479,1213.6096525096525
457,18.083333333333332,1764.7696259681625,625.7653284058457,1216.9063730936266
459,18.166666666666664,1763.215091868572,625.5259150805269,1217.8242489872862
461,18.249999999999996,1768.847556304581,625.9993332777733,1221.486528559454
463,18.333333333333332,1768.7428224213886,628.0737606305746,1223.5908955726948
465,18.416666666666664,1770.8264092722209,629.6611095023374,1227.2398171320472
467,18.499999999999996,1774.0235773269071,633.1177899460662,1231.2150552377968
469,18.583333333333332,1773.8388101772864,633.1963904840032,1232.1991741654006
471,18.666666666666664,1777.1850270528912,636.3005336617407,1237.8392943779234
473,18.749999999999996,1780.5086730586254,636.3908421913328,1240.109295948712
475,18.833333333333332,1783.4208093747727,638.1937571219273,1242.7768299711815
477,18.916666666666664,1787.6329910326874,643.1006365811135,1248.104302452264
479,18.999999999999996,1787.7666213897626,649.5921767328739,1254.4162519469664
481,19.083333333333332,1786.4166046561072,663.8942741935483,1261.3689104317154
483,19.166666666666664,1786.559649122807,694.0253711633119,1276.1493017255884
485,19.249999999999996,1784.4060319994446,756.9719301020004,1304.1000055445688
487,19.333333333333332,1773.7581784963288,816.0978740157482,1326.6892793471668
489,19.416666666666664,1762.4215939187563,880.849101843481,1351.00276993066
491,19.499999999999996,1754.2439736281851,944.8067606297357,1376.591614309527
493,19.583333333333332,1748.726071134304,1001.4722407501863,1400.0076169550491
495,19.666666666666664,1737.564304101596,1048.5670746057897,1416.0263779311356
497,19.749999999999996,1724.030306150467,1091.341374441045,1428.7754713527365
499,19.833333333333332,1711.3540293794613,1128.2200823690919,1439.219161282056
501,19.916666666666664,1695.6809664355826,1157.7942814559144,1444.6658674085736
503,19.999999999999996,1682.9337314252375,1175.8597034828992,1446.3022787590369
505,20.083333333333332,1674.8979549821577,1177.2663738332421,1442.6844551809963
507,20.166666666666664,1665.5278925972739,1139.392921462689,1420.3661771412937
509,20.249999999999996,1684.0858599592111,1069.7289675701081,1398.6411049643325
511,20.333333333333332,1723.5462473483954,974.7395813028733,1376.5247515808494
513,20.416666666666664,1775.1076598311215,889.7194068192433,1365.510371650821
515,20.499999999999996,1803.4736719089121,832.7516037479103,1354.9746182863305
517,20.583333333333332,1814.174769864744,799.9189620292561,1346.9208710457926
519,20.666666666666664,1818.3903973509928,783.6848788443616,1342.16548112668
521,20.749999999999996,1827.0868516683186,776.4124650946325,1343.7923787776076
523,20.833333333333332,1830.2732833464881,767.0811513247216,1342.4730809617886
525,20.916666666666664,1834.53050858566,757.0516934735539,1340.2433132316426
527,20.999999999999996,1841.066046359778,746.374411968844,1339.1614277632414
529,21.083333333333332,1844.3882299565755,734.6951355938742,1337.7649918106408
531,21.166666666666664,1846.5425453140601,727.0648098140574,1337.283610901497
533,21.249999999999996,1854.6288077983709,719.7618351166193,1338.8487615449205
535,21.333333333333332,1856.5100258216712,714.7535958772403,1339.036900176047
537,21.416666666666664,1858.848646768686,720.1768890597963,1345.0603820727706
539,21.499999999999996,1862.1798678829819,730.119372651277,1352.0209960599989
